k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d']",0.7516556291390728,0.7451612903225806,0.7649006622516556,0.7549019607843137,0.835385509407482,0.16314271523178808,,2.6168
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R30d']",0.7334437086092715,0.7238095238095238,0.7549668874172185,0.7390599675850892,0.8422108679443884,0.16463409271523177,,2.6007
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'API_14']",0.7566225165562914,0.7444794952681388,0.7814569536423841,0.7625201938610663,0.836723170036402,0.16537886754966888,,2.653
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d']",0.7566225165562914,0.7429467084639498,0.7847682119205298,0.7632850241545893,0.8326827770711811,0.16718266225165565,,2.6091
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R30d']",0.7235099337748344,0.7027027027027027,0.7748344370860927,0.7370078740157481,0.8391682382351651,0.16715138410596025,,2.5895
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'API_14']",0.7417218543046358,0.7239263803680982,0.7814569536423841,0.7515923566878981,0.837304284899785,0.16608805298013243,,2.6137
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'R30d']",0.7483443708609272,0.7373417721518988,0.7715231788079471,0.7540453074433657,0.8467227314591464,0.16022279470198675,,2.6299
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'API_14']",0.7665562913907285,0.7523510971786834,0.7947019867549668,0.7729468599033816,0.8455605017323802,0.15880472185430464,,2.7434
4,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R30d', 'API_14']",0.7334437086092715,0.7169230769230769,0.7715231788079471,0.7432216905901117,0.8489704398929871,0.15990191390728478,,2.6395
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R7d']",0.7533112582781457,0.7508196721311475,0.7582781456953642,0.7545304777594728,0.8256874698478138,0.16709860927152317,,2.6335
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'R30d']",0.7350993377483444,0.7275641025641025,0.7516556291390728,0.739413680781759,0.8359008376825579,0.16611035761589404,,2.6864
4,"['Max_Rainfall_30day', 'R1d', 'R3d', 'API_14']",0.7665562913907285,0.762214983713355,0.7748344370860927,0.7684729064039408,0.8377099688610149,0.16224131788079474,,2.6332
4,"['Max_Rainfall_30day', 'R1d', 'R7d', 'R30d']",0.7400662251655629,0.7331189710610932,0.7549668874172185,0.7438825448613376,0.8349688610148678,0.16601259602649007,,2.6585
4,"['Max_Rainfall_30day', 'R1d', 'R7d', 'API_14']",0.7516556291390728,0.7435897435897436,0.7682119205298014,0.755700325732899,0.8300787246173413,0.1670439668874172,,2.6472
4,"['Max_Rainfall_30day', 'R1d', 'R30d', 'API_14']",0.7317880794701986,0.720125786163522,0.7582781456953642,0.7387096774193549,0.8338230779351783,0.16632691390728477,,2.6444
4,"['Max_Rainfall_30day', 'R3d', 'R7d', 'R30d']",0.7417218543046358,0.737012987012987,0.7516556291390728,0.7442622950819672,0.841794219551774,0.16147913245033113,,2.5892
4,"['Max_Rainfall_30day', 'R3d', 'R7d', 'API_14']",0.7649006622516556,0.7580645161290323,0.7781456953642384,0.7679738562091504,0.8431044691022322,0.15990946357615893,,2.6109
4,"['Max_Rainfall_30day', 'R3d', 'R30d', 'API_14']",0.7384105960264901,0.7278481012658228,0.7615894039735099,0.7443365695792881,0.8421889390816193,0.16164708609271522,,2.6425
4,"['Max_Rainfall_30day', 'R7d', 'R30d', 'API_14']",0.7251655629139073,0.706060606060606,0.7715231788079471,0.7373417721518988,0.8308297881671856,0.17038717880794704,,2.631
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d']",0.7284768211920529,0.7211538461538461,0.7450331125827815,0.7328990228013029,0.7848504451559142,0.19271414215049446,,2.6431
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R30d']",0.7235099337748344,0.7027027027027027,0.7748344370860927,0.7370078740157481,0.8016424718214112,0.18978959602649006,,2.9272
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'API_14']",0.7135761589403974,0.6948640483383686,0.7615894039735099,0.7266982622432859,0.8062749440813999,0.1856139205298013,,2.9412
