index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
93,68.8832015991211,68.8832015991211,68.8832015991211,87.71610045433044,68.8832015991211,68.8832015991211,68.8832015991211,87.71610045433044,-0.07823371938577976,-0.09356466937240769,0.03044206925734269,-0.034129157677561035,0.5014854771784234,-0.1754854771784058,0.23636961569309117,0.326,0,1,1,2021-10-08 00:00:00,2021-10-08,,285378.175106226,210101.916417347,Buncombe,{33993078-EDBD-46F6-AAE5-CB538C092EA5},116435.0,Landslide,2017_2021,1672108.0,UFB
97,36.61399841308594,0.6159999966621399,0.6159999966621399,1.034999996423721,36.61399841308594,0.6159999966621399,0.6159999966621399,1.034999996423721,-0.031055771589613715,-0.014030461984786968,0.01557583436375226,-0.13197507796776908,0.5014854771784234,-0.1614854771784175,0.192637145905922,0.34,0,1,1,1990-06-05 00:00:00,1990-06-05 00:00:00,,318626.112300001,202637.203299999,Buncombe,{8AE25A50-98BA-41CA-943A-113608FFEBA1},57942.0,Landslide,1980_2021,1672006.0,EDE
101,61.90399932861328,0.0,0.0,0.0,61.90399932861328,0.0,0.0,0.0,0.12008324355683823,0.027756438322303425,0.03406491222934861,0.014609928713090083,0.5014854771784234,0.19651452282158033,0.19651452282158033,0.698,1,1,1,2008-09-25 00:00:00,2008-09-25,,292607.376900002,221308.852899998,Buncombe,{682DD932-259B-420D-A390-4EFAB5F10AC0},59191.0,Landslide,2005_2010,1672009.0,EVD2
104,61.5099983215332,13.758000373840332,1.2549999952316284,15.436000376939774,61.5099983215332,13.758000373840332,1.2549999952316284,15.436000376939774,-0.08068849269791147,-0.10950996383569227,-0.10609017337835537,-0.11119684726644119,0.5014854771784234,-0.4074854771784003,0.4074854771784003,0.094,0,1,1,2005-07-07 00:00:00,2005-07-07,,314129.586978264,200111.68468841,Buncombe,{430B4290-D951-4EAF-B303-7C61D2E7C4FD},58216.0,Landslide,2005_2010,1672007.0,EDF
107,71.92350006103516,11.248600006103516,0.0,12.466499924659727,71.92350006103516,11.248600006103516,0.0,12.466499924659727,-0.027935961767695833,0.058157069095096985,0.06494871719594941,0.09734469829822988,0.5014854771784234,0.19251452282158044,0.2483864463569721,0.694,1,1,1,2021-08-24 00:00:00,2021-08-24,,290848.75334404,197346.177101562,Buncombe,{C5228436-BFC0-4FFA-AE14-F25381FCE6A3},115161.0,Landslide,2017_2021,1672010.0,EVE2
109,27.14800071716309,0.0049999998882412,0.0049999998882412,0.0049999998882412,27.14800071716309,0.0049999998882412,0.0049999998882412,0.0049999998882412,-0.08119154269954976,-0.10190544163429338,-0.03866890681629373,-0.10971958602827826,0.5014854771784234,-0.33148547717841514,0.33148547717841514,0.17,0,0,0,2019-07-12 17:33:13,,2019-07-12 17:33:13,282274.29914903303,202645.29086470412,,,,NonLandslide,2017_2021,1672015.0,EWD
111,21.399999618530273,3.2190001010894775,3.2190001010894775,4.14300012588501,21.399999618530273,3.2190001010894775,3.2190001010894775,4.14300012588501,-0.20253169717435918,0.014171435727849206,-0.059752674842609176,-0.009372540889298045,0.5014854771784234,-0.2574854771784172,0.2858283486341156,0.244,0,0,0,2020-09-06 07:50:24,,2020-09-06 07:50:24,290576.17151655944,228899.28535399152,,,,NonLandslide,2017_2021,1672009.0,EVD2
112,62.83659744262695,0.0,0.0,0.0,62.83659744262695,0.0,0.0,0.0,0.04912023341739614,0.015807215948358072,0.028963219069696126,-0.0013761456138725902,0.5014854771784234,0.09251452282157774,0.09526681404932291,0.594,1,0,0,2021-04-07 11:03:16,,2021-04-07 11:03:16,274132.6102465806,209309.9875876233,,,,NonLandslide,2017_2021,1672016.0,EWE
114,55.62200164794922,0.4239999949932098,0.4239999949932098,0.4239999949932098,55.62200164794922,0.4239999949932098,0.4239999949932098,0.4239999949932098,-0.17190848469882106,-0.07452883371939505,0.04104113544625343,-0.11608929420644672,0.5014854771784234,-0.32148547717840936,0.4035677480709162,0.18,0,0,0,2020-10-18 19:35:43,,2020-10-18 19:35:43,265954.62234147824,221524.94592675348,,,,NonLandslide,2017_2021,1671929.0,ARF
115,55.69499969482422,33.37900161743164,0.0710000023245811,45.32200136035681,55.69499969482422,33.37900161743164,0.0710000023245811,45.32200136035681,-0.0817314407070345,-0.02094867217817442,-0.013041606251867472,0.012236241958656054,0.5014854771784234,-0.10348547717842034,0.12795796109573246,0.398,0,0,0,2020-01-27 17:21:21,,2020-01-27 17:21:21,310667.7847360951,222966.00418063693,,,,NonLandslide,2017_2021,1672096.0,TPE
