2866|"588570"|"1672017"|"35354189"
|"588571"|"1672017"|"35354256"
2866|"588572"|"1672017"|"35354397"
2866|"588573"|"1672017"|"35354538"
3308|"588566"|"1672018"|"35353534"
3308|"588567"|"1672018"|"35353675"
3308|"588568"|"1672018"|"35353816"
3308|"588569"|"1672018"|"35353957"
3308|"588570"|"1672018"|"35354098"
|"588571"|"1672018"|"35354211"
3308|"588572"|"1672018"|"35354306"
3308|"588573"|"1672018"|"35354447"
853|"588566"|"1672019"|"35353584"
853|"588567"|"1672019"|"35353725"
853|"588568"|"1672019"|"35353866"
853|"588569"|"1672019"|"35354007"
853|"588570"|"1672019"|"35354148"
|"588571"|"1672019"|"35354239"
853|"588572"|"1672019"|"35354356"
853|"588573"|"1672019"|"35354497"
998|"588566"|"1672020"|"35353585"
998|"588567"|"1672020"|"35353726"
998|"588568"|"1672020"|"35353867"
998|"588569"|"1672020"|"35354008"
998|"588570"|"1672020"|"35354149"
998|"588572"|"1672020"|"35354357"
998|"588573"|"1672020"|"35354498"
560|"588566"|"1672021"|"35353503"
560|"588567"|"1672021"|"35353644"
560|"588568"|"1672021"|"35353785"
560|"588569"|"1672021"|"35353926"
560|"588570"|"1672021"|"35354067"
560|"588572"|"1672021"|"35354275"
560|"588573"|"1672021"|"35354416"
1324|"588566"|"1672022"|"35353504"
1324|"588567"|"1672022"|"35353645"
1324|"588568"|"1672022"|"35353786"
1324|"588569"|"1672022"|"35353927"
1324|"588570"|"1672022"|"35354068"
1324|"588572"|"1672022"|"35354276"
1324|"588573"|"1672022"|"35354417"
910|"588566"|"1672023"|"35353535"
910|"588567"|"1672023"|"35353676"
