X,Y,IsLandslide,geometry
291234.192937792,198131.446886083,1,POINT (291234.192937792 198131.446886083)
306860.883000348,220426.471881404,1,POINT (306860.883000348 220426.471881404)
282443.089345855,221376.021416519,1,POINT (282443.089345855 221376.021416519)
295569.701691854,208980.027407448,1,POINT (295569.701691854 208980.027407448)
273955.661906714,199308.350719446,1,POINT (273955.661906714 199308.350719446)
296036.679276733,219674.888286467,1,POINT (296036.679276733 219674.888286467)
296039.343023068,219554.092170911,1,POINT (296039.343023068 219554.092170911)
294105.708358786,219387.756904371,1,POINT (294105.708358786 219387.756904371)
294108.785942909,219226.658870907,1,POINT (294108.785942909 219226.658870907)
288113.294022767,194002.916225691,1,POINT (288113.294022767 194002.916225691)
288838.666378573,211483.357881119,1,POINT (288838.666378573 211483.357881119)
288837.146417919,211534.740561249,1,POINT (288837.146417919 211534.740561249)
287847.005825425,209499.271973898,1,POINT (287847.005825425 209499.271973898)
300448.110850436,215248.331511158,1,POINT (300448.110850436 215248.331511158)
300433.077336856,215234.540436716,1,POINT (300433.077336856 215234.540436716)
286342.506832667,217385.879981303,1,POINT (286342.506832667 217385.879981303)
306762.921053431,212977.261082992,1,POINT (306762.921053431 212977.261082992)
306775.181431158,212935.868248097,1,POINT (306775.181431158 212935.868248097)
297353.114494448,205074.427398794,1,POINT (297353.114494448 205074.427398794)
297330.193767851,205047.801242955,1,POINT (297330.193767851 205047.801242955)
302593.608323686,229505.214924186,1,POINT (302593.608323686 229505.214924186)
293557.550775355,209830.543391962,1,POINT (293557.550775355 209830.543391962)
288614.446705812,208598.819395579,1,POINT (288614.446705812 208598.819395579)
290949.378779659,197448.488771794,1,POINT (290949.378779659 197448.488771794)
291107.521993679,197546.187482795,1,POINT (291107.521993679 197546.187482795)
290848.75334404,197346.177101562,1,POINT (290848.75334404 197346.177101562)
291106.557806895,197498.326182345,1,POINT (291106.557806895 197498.326182345)
291100.355316782,197472.779558992,1,POINT (291100.355316782 197472.779558992)
291090.595984256,197467.814673878,1,POINT (291090.595984256 197467.814673878)
291056.044408626,197673.44689506,1,POINT (291056.044408626 197673.44689506)
291121.925790389,197742.503283173,1,POINT (291121.925790389 197742.503283173)
291104.463255464,197895.697339561,1,POINT (291104.463255464 197895.697339561)
291138.594573726,197990.153778474,1,POINT (291138.594573726 197990.153778474)
291053.663153864,197796.478391123,1,POINT (291053.663153864 197796.478391123)
300721.040299028,211913.273796808,1,POINT (300721.040299028 211913.273796808)
300912.878914493,212137.614985203,1,POINT (300912.878914493 212137.614985203)
302335.574520566,211995.426615799,1,POINT (302335.574520566 211995.426615799)
299753.839430067,212970.638665523,1,POINT (299753.839430067 212970.638665523)
299987.524743841,213225.981232492,1,POINT (299987.524743841 213225.981232492)
302983.348770287,212844.920917165,1,POINT (302983.348770287 212844.920917165)
302687.353762656,212849.75516572,1,POINT (302687.353762656 212849.75516572)
302454.781943289,211564.884411639,1,POINT (302454.781943289 211564.884411639)
285378.175106226,210101.916417347,1,POINT (285378.175106226 210101.916417347)
271912.537071358,205305.564512294,1,POINT (271912.537071358 205305.564512294)
293020.74851513724,207988.84859713278,0,POINT (293020.74851513724 207988.84859713278)
271064.8688225899,209281.25999882718,0,POINT (271064.8688225899 209281.25999882718)
268112.5016820675,197594.20888492666,0,POINT (268112.5016820675 197594.20888492666)
282869.0831657443,204130.9388565257,0,POINT (282869.0831657443 204130.9388565257)
312711.1395478678,202176.33876110724,0,POINT (312711.1395478678 202176.33876110724)
