IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID
1,2004-09-06 17:00:00,301871.381700002,223876.770599999,POINT (-82.40204300025478 35.72061399979069),29.916,4.2329335,,Buncombe,{1D68D0EB-0AF7-48C0-A608-C1979354F413},,,Landslide Hazard Mapping,,60787.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4481.0
1,2004-09-06 17:00:00,310999.046899997,214949.8464,POINT (-82.29793199966295 35.64297099997619),40.422,4.3125,,Buncombe,{01EBF686-0AE9-4564-9AC3-1D635EBE07A3},,2008-10-21,Landslide Hazard Mapping,,58777.0,,Montreat,Extremely rapid (>5 m/sec),Cut slope - Not road related,,Debris,,Flow,,2004-09-06 17:00:00,5628.0
1,2004-09-06 17:00:00,301706.839500003,221932.329799999,POINT (-82.40312399991531 35.70304699958267),29.916,4.2329335,,Buncombe,{589DC77B-A0B7-4105-BD95-0F8A34C2A407},,,Landslide Hazard Mapping,,60788.0,,Craggy Pinnacle,,Road cut,,,,,,2004-09-06 17:00:00,4483.0
1,2004-09-06 17:00:00,304674.343955282,224619.214791408,POINT (-82.37135801115191 35.72816396236022),42.59,5.0193334,,Buncombe,{ECC25666-BB80-4186-BF06-F10D94AF7C4F},,,Landslide Hazard Mapping,,60789.0,,Montreat,,Road cut,,,,,,2004-09-06 17:00:00,4484.0
1,2004-09-06 17:00:00,262140.619000003,220544.513999999,POINT (-82.83944100025866 35.67753900034189),23.166,1.9486667,,Buncombe,{3D724714-ECD4-4B4B-A1E2-7FD65090FCD6},Extremely rapid (>5 m/sec),2008-03-20,Landslide Hazard Mapping,,60903.0,,Sandymush,,Unmodified,Flow,Debris,Debris,Slide,,2004-09-06 17:00:00,5191.0
1,2004-09-16 17:00:00,269363.5198,194740.923099998,POINT (-82.7489419999372 35.447602999631904),192.526,10.099566,,Buncombe,{9DB0B13D-6396-4497-A084-D831B2577FE6},,2008-02-29,Landslide Hazard Mapping,,59143.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Embankment - Not road related,,Debris,,Flow,,2004-09-16 17:00:00,5059.0
1,2004-09-16 17:00:00,277058.548811354,210219.775711354,POINT (-82.67053504352239 35.58962519709259),147.763,7.5538664,,Buncombe,{D151592A-69F9-40F5-986E-53C9E11457C7},,2004-09-23,Geohazards,,58069.0,,Enka,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,441.0
1,2004-09-16 17:00:00,277082.840099998,210349.298,POINT (-82.67031999979274 35.59079999996125),147.763,7.5538664,,Buncombe,{3790C10B-47FA-4068-ADEF-8B210F0296D1},,2004-09-23,Geohazards,,58054.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,440.0
1,2004-09-16 17:00:00,274236.265000001,196177.030200001,POINT (-82.69588999949505 35.46218599966082),211.26,10.974299,,Buncombe,{576C4F53-E27A-46EF-A81B-2B2BEB9A8A9F},,2008-02-14,Landslide Hazard Mapping,,59139.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,5048.0
1,2004-09-16 17:00:00,274091.8486,196498.5748,POINT (-82.69761199959464 35.46503400012341),211.26,10.974299,,Buncombe,{31A905A8-C8F8-4E7D-8361-B3DB20467B18},,2008-02-14,Landslide Hazard Mapping,,59138.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-16 17:00:00,5047.0
