X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,geometry,Sort_Date,IsLandslide
274690.545400001,198180.661899999,57922.0,332.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road unspecified,,,,{1C111B23-80B9-4138-8008-C9FB586F6B02},POINT (274690.545400001 198180.661899999),1977-11-05 06:00:00,1
275525.265299998,198595.692899998,57967.0,338.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,,Debris,Slide,,,,Unmodified,,,,{976DDA2E-2D7B-45C1-8F2C-457EC81DAFB6},POINT (275525.265299998 198595.692899998),1977-11-05 06:00:00,1
274221.723800004,197117.8497,57925.0,335.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{281858E0-C280-415B-991C-5B0DE53D4C41},POINT (274221.723800004 197117.8497),1977-11-05 06:00:00,1
275804.451700002,199055.473499998,57969.0,340.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{898FB9FF-3067-41AF-AFF5-258A581EC423},POINT (275804.451700002 199055.473499998),1977-11-05 06:00:00,1
278149.0612,198712.058600001,57983.0,352.0,Geohazards,Buncombe,Dunsmore Mountain,2008-07-22,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{9ED428EA-F658-4F9A-984B-3A9B7D48DA93},POINT (278149.0612 198712.058600001),1977-11-05 06:00:00,1
277894.7311,198842.319200002,57982.0,351.0,Geohazards,Buncombe,Dunsmore Mountain,2008-07-22,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{969FCDC7-5AC0-42E8-8B28-738F9BA83C64},POINT (277894.7311 198842.319200002),1977-11-05 06:00:00,1
278446.238899998,199731.306899998,57981.0,350.0,Geohazards,Buncombe,Dunsmore Mountain,2008-07-22,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{D343FE0A-5CA4-4A53-A3D0-D3D42E05E694},POINT (278446.238899998 199731.306899998),1977-11-05 06:00:00,1
276805.7016,196537.282499999,57980.0,349.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{38BC4705-9602-49F0-9245-9D1B6E6CEFAA},POINT (276805.7016 196537.282499999),1977-11-05 06:00:00,1
275999.318599999,198842.986699998,57968.0,339.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{A2984A60-D71F-44CD-A495-402E346E35CF},POINT (275999.318599999 198842.986699998),1977-11-05 06:00:00,1
276855.431199998,196661.553599998,57979.0,348.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{921488E4-F2D9-4CAC-BE3A-D6B8CE8C8F38},POINT (276855.431199998 196661.553599998),1977-11-05 06:00:00,1
281491.271399997,197112.289299998,57977.0,398.0,Geohazards,Buncombe,Skyland,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{B5FA9627-3228-4654-8A13-C77ECB9E086E},POINT (281491.271399997 197112.289299998),1977-11-05 06:00:00,1
276980.117799997,197071.907299999,57976.0,346.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{A9A244FE-649B-4E39-9F8B-354C493B9CEF},POINT (276980.117799997 197071.907299999),1977-11-05 06:00:00,1
276901.8125,196945.916299999,57978.0,347.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{7892F7FF-036D-45CC-A26F-3C4DD428E1A6},POINT (276901.8125 196945.916299999),1977-11-05 06:00:00,1
277421.681199998,199466.888900001,57974.0,344.0,Geohazards,Buncombe,Dunsmore Mountain,,1977-11-05 06:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{01C8C50B-C5A6-46CE-9D40-FE1CD43B2464},POINT (277421.681199998 199466.888900001),1977-11-05 06:00:00,1
