k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
3,"['Max_Rainfall_3day', 'R3d', 'R7d']",0.5149006622516556,0.5145631067961165,0.5264900662251656,0.5204582651391162,0.5337923775273015,0.2509753271436764,,0.0226
3,"['Max_Rainfall_3day', 'R1d', 'R3d']",0.5132450331125827,0.5098522167487685,0.6854304635761589,0.5847457627118644,0.49792772246831285,0.2510778583436398,,0.0234
3,"['Max_Rainfall_3day', 'R1d', 'R7d']",0.5115894039735099,0.5104477611940299,0.5662251655629139,0.5368916797488226,0.5218411473181002,0.25059942401196517,,0.0222
2,"['Max_Rainfall_3day', 'R1d']",0.5099337748344371,0.5074626865671642,0.6754966887417219,0.5795454545454546,0.5061620104381388,0.25045349047814386,,0.022
2,"['R1d', 'R3d']",0.5099337748344371,0.5074257425742574,0.6788079470198676,0.5807365439093485,0.5025327836498399,0.25073622103456766,,0.0217
3,"['R1d', 'R3d', 'R30d']",0.5099337748344371,0.5081521739130435,0.6192052980132451,0.5582089552238806,0.523551598614096,0.25078374527995567,,0.0217
4,"['Max_Rainfall_3day', 'R1d', 'R3d', 'R7d']",0.5099337748344371,0.5088757396449705,0.5695364238410596,0.5375,0.5191877549230297,0.25120004848399924,,0.0239
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d']",0.5082781456953642,0.5096525096525096,0.4370860927152318,0.47058823529411764,0.5210846015525635,0.2500701850863021,,0.022
3,"['R1d', 'R3d', 'R7d']",0.5066225165562914,0.5060975609756098,0.5496688741721855,0.526984126984127,0.5252291566159379,0.25089159749277545,,0.0216
3,"['Max_Rainfall_30day', 'R1d', 'R3d']",0.5066225165562914,0.5070921985815603,0.4735099337748344,0.4897260273972603,0.4999671067058462,0.25036998913448033,,0.0219
3,"['Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d']",0.5049668874172185,0.5054945054945055,0.45695364238410596,0.48,0.5081027147932109,0.25046015416110584,,0.0235
