index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
45,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,848.4461059570312,30.043719945534093,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,848.4461059570312,30.043719945534093,-0.004062299727979836,0.0409895094646258,0.03532844511365694,0.044215419495533335,0.04757374631350526,0.14646970216223834,0.5014854771784234,0.3105145228215798,0.3186391222775395,0.812,1,1,1,2008-06-25 00:00:00,2008-06-25,,296269.931100003,228713.737500001,Buncombe,{65F254DD-DEDD-47B5-BBEC-723EFAC0917B},59351.0,Landslide,2005_2010,1672096.0,TPE
46,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,686.3325805664062,1.1973690691675083,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,686.3325805664062,1.1973690691675083,-0.04156846433301272,-0.0418187688265834,0.0038568012340414143,-0.05943582435293596,-0.07321262262499327,-0.24730659827493626,0.5014854771784234,-0.45948547717842014,0.467199079646503,0.042,0,0,0,2019-09-22 15:11:46,,2019-09-22 15:11:46,290373.91743072,195537.37163446145,,,,NonLandslide,2017_2021,1672107.0,UD
47,14.656999588012695,0.0,0.0,0.0,655.8912353515625,24.519707847138054,14.656999588012695,0.0,0.0,0.0,655.8912353515625,24.519707847138054,0.05783873312319336,-0.01780669166504102,0.034779695349836603,-0.018553506543240724,-0.07754629565675586,0.17380258821358838,0.5014854771784234,0.15251452282158073,0.3803275105516559,0.654,1,1,1,2008-01-30 00:00:00,2008-01-30,,277239.877700001,205733.063299999,Buncombe,{D8AC76A9-CCA4-4C37-B3E5-B12362D9E1E9},59258.0,Landslide,2005_2010,1672010.0,EVE2
49,43.847999572753906,38.1879997253418,0.0189999993890523,38.31799972616136,678.8939208984375,1.1184025978741536,43.847999572753906,38.1879997253418,0.0189999993890523,38.31799972616136,678.8939208984375,1.1184025978741536,0.00597817632413518,0.04089447083001565,0.005561345169605158,0.031673288150408554,-0.04110112096557829,-0.23449163668700504,0.5014854771784234,-0.1914854771784188,0.3597000381267479,0.31,0,0,0,2018-11-27 08:43:46,,2018-11-27 08:43:46,289445.13043963205,196675.93731940584,,,,NonLandslide,2017_2021,1672109.0,UHE
59,19.60199928283691,0.0,0.0,0.0,875.4669799804688,24.03769968275571,19.60199928283691,0.0,0.0,0.0,875.4669799804688,24.03769968275571,0.05587977044535163,-0.0073127934760969324,0.03890312375410353,-0.004288122623342402,0.06576337851228857,0.02556916620927265,0.5014854771784234,0.17451452282157706,0.19771635502045573,0.676,1,1,1,2008-07-21 00:00:00,2008-07-21,,301288.633400001,230783.271600001,Buncombe,{CAB65C5E-B6FE-4B3E-AB3E-F394BA1F76CA},60606.0,Landslide,2005_2010,1672007.0,EDF
60,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,667.1865234375,28.511202003396004,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,667.1865234375,28.511202003396004,0.015630829109721765,-0.017113172820621976,-0.02150345846577359,0.024491006107428458,0.06450215255845763,0.23650716633236993,0.5014854771784234,0.3025145228215822,0.37974778539437337,0.804,1,1,1,2005-02-25 00:00:00,2005-02-25,,298048.144599997,209361.830200002,Buncombe,{AB483B6E-606A-48A2-882A-CCF3DBC6BB8F},57949.0,Landslide,2005_2010,1672016.0,EWE
61,14.616999626159668,0.0320000015199184,0.0320000015199184,0.0320000015199184,874.6488647460938,16.03660183422642,14.616999626159668,0.0320000015199184,0.0320000015199184,0.0320000015199184,874.6488647460938,16.03660183422642,0.08624590669775765,-0.026719914320994593,-0.006924113034066206,-0.01942470069070219,0.08433391330979455,-0.15899656914020951,0.5014854771784234,-0.0414854771784203,0.3826451171935247,0.46,0,1,1,2008-05-28 00:00:00,2008-05-28,,294042.049999997,218357.054099999,Buncombe,{6821E828-7794-4160-83A0-F81853647AC7},59448.0,Landslide,2005_2010,1672095.0,TPD
68,19.732999801635746,0.0,0.0,0.0,911.0025634765624,5.459384999926045,19.732999801635746,0.0,0.0,0.0,911.0025634765624,5.459384999926045,-0.005134402053636812,-0.023822555456017285,0.002999653154633437,-0.02859058101225726,0.04649587513859858,-0.3694334669497447,0.5014854771784234,-0.37748547717842407,0.4764765337648881,0.124,0,1,1,2006-06-18 00:00:00,2006-06-18,,291240.65898107,198094.557280201,Buncombe,{8A608E92-6EF5-4495-8C42-5D566C809CCB},61413.0,Landslide,2005_2010,1672005.0,EDD
74,75.50299835205078,0.0,0.0,0.0,647.31591796875,12.17165515296023,75.50299835205078,0.0,0.0,0.0,647.31591796875,12.17165515296023,-0.03915492102105338,-0.04441188561768123,-0.005327016306864438,-0.05770985504348668,-0.051121092768949467,-0.21576070642038556,0.5014854771784234,-0.41348547717842077,0.41348547717842077,0.088,0,0,0,2020-11-09 01:59:44,,2020-11-09 01:59:44,293530.7175218664,208372.6564577353,,,,NonLandslide,2017_2021,1672010.0,EVE2
87,57.551998138427734,0.0,0.0,0.0,767.0282592773438,24.542788464014436,57.551998138427734,0.0,0.0,0.0,767.0282592773438,24.542788464014436,-0.13387454119758127,-0.0315017120838457,0.0287764942437777,-0.045118751544694836,0.058578031800481226,0.04165500160344119,0.5014854771784234,-0.08148547717842167,0.33950453247382195,0.42,0,1,1,2008-10-15 00:00:00,2008-10-15,,315217.255199999,198839.6877,Buncombe,{2D19FBA9-97A8-4642-AF94-BB1E65602E50},60612.0,Landslide,2005_2010,1672095.0,TPD
