index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,raw_Soil_Depth_Deep200_Flag,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,x_Soil_Depth_Deep200_Flag,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,shap_Soil_Depth_Deep200_Flag,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
47,14.656999588012695,0.0,0.0,0.0,655.8912353515625,24.519707847138054,1.0,14.656999588012695,0.0,0.0,0.0,655.8912353515625,24.519707847138054,1.0,0.06728597747875831,-0.012586859841685548,0.03716733315904302,-0.01601920715189957,-0.07573850011192397,0.164051869447898,0.010353909841389047,0.5014854771784234,0.17451452282157928,0.38320365703259746,0.676,1,1,1,2008-01-30 00:00:00,2008-01-30,,277239.877700001,205733.063299999,Buncombe,{D8AC76A9-CCA4-4C37-B3E5-B12362D9E1E9},59258.0,Landslide,2005_2010,1672010.0,EVE2
49,43.847999572753906,38.1879997253418,0.0189999993890523,38.31799972616136,678.8939208984375,1.1184025978741536,1.0,43.847999572753906,38.1879997253418,0.0189999993890523,38.31799972616136,678.8939208984375,1.1184025978741536,1.0,0.006546467541926343,0.020988253883125186,-0.007750972734031419,0.016527717692499735,-0.04003354104403811,-0.2405059011195798,-0.001257501398321738,0.5014854771784234,-0.24548547717841981,0.33361035541352235,0.256,0,0,0,2018-11-27 08:43:46,,2018-11-27 08:43:46,289445.13043963205,196675.93731940584,,,,NonLandslide,2017_2021,1672109.0,UHE
59,19.60199928283691,0.0,0.0,0.0,875.4669799804688,24.03769968275571,1.0,19.60199928283691,0.0,0.0,0.0,875.4669799804688,24.03769968275571,1.0,0.04031319288515858,0.0008573983579641553,0.04283347624027289,-0.009170585305494274,0.05951978236065582,0.01865281707392136,0.003508441209098529,0.5014854771784234,0.15651452282157705,0.1748556934325656,0.658,1,1,1,2008-07-21 00:00:00,2008-07-21,,301288.633400001,230783.271600001,Buncombe,{CAB65C5E-B6FE-4B3E-AB3E-F394BA1F76CA},60606.0,Landslide,2005_2010,1672007.0,EDF
60,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,667.1865234375,28.511202003396004,1.0,20.768999099731445,17.5939998626709,3.2109999656677246,20.804999828338623,667.1865234375,28.511202003396004,1.0,0.015465898693127183,-0.024778471145177592,-0.014478801408419804,0.02593390924316006,0.05201148386202638,0.22247625525677964,0.009884248320083723,0.5014854771784234,0.2865145228215796,0.3650290679287744,0.788,1,1,1,2005-02-25 00:00:00,2005-02-25,,298048.144599997,209361.830200002,Buncombe,{AB483B6E-606A-48A2-882A-CCF3DBC6BB8F},57949.0,Landslide,2005_2010,1672016.0,EWE
61,14.616999626159668,0.0320000015199184,0.0320000015199184,0.0320000015199184,874.6488647460938,16.03660183422642,1.0,14.616999626159668,0.0320000015199184,0.0320000015199184,0.0320000015199184,874.6488647460938,16.03660183422642,1.0,0.09044870160050027,-0.022592396129229125,-0.003993425279660125,-0.01723709942155276,0.07973730127020444,-0.14373097652822753,0.003882417309545634,0.5014854771784234,-0.013485477178419195,0.3616223175389199,0.488,0,1,1,2008-05-28 00:00:00,2008-05-28,,294042.049999997,218357.054099999,Buncombe,{6821E828-7794-4160-83A0-F81853647AC7},59448.0,Landslide,2005_2010,1672095.0,TPD
68,19.732999801635746,0.0,0.0,0.0,911.0025634765624,5.459384999926045,1.0,19.732999801635746,0.0,0.0,0.0,911.0025634765624,5.459384999926045,1.0,-0.008778874038831366,-0.018894370341739814,0.0035808288694332393,-0.028257897313523832,0.047882120140808365,-0.35459700788546067,0.0035797233908899198,0.5014854771784234,-0.35548547717842416,0.46557082198068717,0.146,0,1,1,2006-06-18 00:00:00,2006-06-18,,291240.65898107,198094.557280201,Buncombe,{8A608E92-6EF5-4495-8C42-5D566C809CCB},61413.0,Landslide,2005_2010,1672005.0,EDD
74,75.50299835205078,0.0,0.0,0.0,647.31591796875,12.17165515296023,1.0,75.50299835205078,0.0,0.0,0.0,647.31591796875,12.17165515296023,1.0,-0.05646740068708876,-0.04996976560202805,-0.005030934217282236,-0.060327009979931914,-0.06239294521881827,-0.2061949735360901,0.0008975520628189763,0.5014854771784234,-0.4394854771784203,0.4412805813040583,0.062,0,0,0,2020-11-09 01:59:44,,2020-11-09 01:59:44,293530.7175218664,208372.6564577353,,,,NonLandslide,2017_2021,1672010.0,EVE2
87,57.551998138427734,0.0,0.0,0.0,767.0282592773438,24.542788464014436,1.0,57.551998138427734,0.0,0.0,0.0,767.0282592773438,24.542788464014436,1.0,-0.13733618828424643,-0.04079541207584954,0.026740861516521205,-0.045966615277544844,0.05187253158522424,0.04360964368892568,0.0023897016685485405,0.5014854771784234,-0.09948547717842113,0.3487109540968605,0.402,0,1,1,2008-10-15 00:00:00,2008-10-15,,315217.255199999,198839.6877,Buncombe,{2D19FBA9-97A8-4642-AF94-BB1E65602E50},60612.0,Landslide,2005_2010,1672095.0,TPD
91,14.598999977111816,3.421999931335449,0.0,4.585999965667725,896.8770141601562,22.74724924488898,1.0,14.598999977111816,3.421999931335449,0.0,4.585999965667725,896.8770141601562,22.74724924488898,1.0,0.028965247365247148,0.034048034953405935,0.048837263363275527,0.012836977783338003,0.004355169872294997,0.06346767759456472,0.004004151889450991,0.5014854771784234,0.1965145228215773,0.1965145228215773,0.698,1,0,0,2020-03-21 01:17:32,,2020-03-21 01:17:32,304326.3520483367,208759.80389638757,,,,NonLandslide,2017_2021,1672005.0,EDD
92,192.5260009765625,0.0,0.0,0.0,887.0120849609375,26.416583975505898,1.0,192.5260009765625,0.0,0.0,0.0,887.0120849609375,26.416583975505898,1.0,0.14128899074393536,0.029844858033880716,0.03611851098520525,0.018493684817111618,0.05166935005347211,0.08330883659216183,0.003790291595813158,0.5014854771784234,0.36451452282158003,0.36451452282158003,0.866,1,1,1,2004-09-16 17:00:00,2004-09-16 17:00:00,,270712.609702996,195163.949986,Buncombe,{DE41599D-A3EF-4028-B2AF-C15A6D5E0834},58079.0,Landslide,1980_2021,1672006.0,EDE
